Sample,gamma,cost,validation_accuracy,test_accuracy,,
6,1.00E-06,0.01,85.7,75.7,85.73572102,75.65458072
6,1.00E-06,0.1,87.0,77.9,87.03443987,77.87086173
6,1.00E-06,1,88.1,80.3,88.14627569,80.28311289
6,1.00E-06,10,89.1,81.2,89.11380941,81.21649651
6,1.00E-06,100,89.8,82.0,89.77381407,82.04482396
6,5.00E-06,0.01,87.4,79.2,87.4169925,79.19416534
6,5.00E-06,0.1,89.0,81.0,88.95734133,80.96867171
6,5.00E-06,1,90.0,82.0,89.99888478,82.03741616
6,5.00E-06,10,90.9,83.9,90.91167157,83.89138809
6,5.00E-06,100,91.3,83.5,91.33274982,83.51022277
6,5.00E-05,0.01,89.9,75.3,89.91507467,75.26398729
6,5.00E-05,0.1,91.3,76.7,91.32362533,76.69504081
6,5.00E-05,1,92.4,78.7,92.37970038,78.65002828
6,5.00E-05,10,92.9,78.8,92.87647808,78.81232659
6,5.00E-05,100,93.5,58.1,93.52431676,58.08663093
6,0.0001,0.01,90.5,73.2,90.52573951,73.20461708
6,0.0001,0.1,91.8,74.4,91.81972714,74.44845514
6,0.0001,1,92.8,76.2,92.79165413,76.16841311
6,0.0001,10,93.5,59.9,93.51755788,59.90760445
6,0.0001,100,94.1,60.5,94.08597972,60.45308838
6,0.001,0.01,91.6,47.4,91.5906011,47.36955526
6,0.001,0.1,93.6,48.3,93.56554593,48.33459042
6,0.001,1,94.5,49.0,94.53274171,48.97435552
6,0.001,10,94.9,48.4,94.86663039,48.37297632
6,0.001,100,94.9,48.0,94.91022517,47.9790157
